"Archive Date","Associated Streets","Collection Date","Data Type","Intersection Number","Neighborhood Code","Original File Name","Site Location","Street Name","Study Period","Study Type"
"12/18/2016 07:00:00 PM","","09-27-2016","CLASSIFICATION","","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\COLUMBUS AVE_130_BP_72HR_ATR_CLS_09272016.XLS","130","COLUMBUS AVE","72 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/18/2016 07:00:00 PM","","09-27-2016","CLASSIFICATION","","ALLSTON BRIGHTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\COMMONWEALTH AVE_620_AB_48HR_ATR_CLS_09272016.XLS","620","COMMONWEALTH AVE","48 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/18/2016 07:00:00 PM","","09-27-2016","XXX","","ALLSTON BRIGHTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\COMMONWEALTH AVE_620_AB_48HR_ATR_XXX_09272016.PDF","620","COMMONWEALTH AVE","48 HOURS","AUTOMATED TRAFFICE RECORDING"
"03/22/2017 08:00:00 PM","","03-02-2017","XXX","","DORCHESTER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\WILLOWWOOD ST_91_DO_24HR_ATR_XXX_03022017.PDF","91","WILLOWWOOD ST","24 HOURS","AUTOMATED TRAFFICE RECORDING"
"03/22/2017 08:00:00 PM","","01-11-2017","XXX","","CHARLESTOWN","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\MYSTIC ST_23_CH_24HR_ATR_XXX_01112017.PDF","23","MYSTIC ST","24 HOURS","AUTOMATED TRAFFICE RECORDING"
"03/30/2017 08:00:00 PM","","10-18-2016","XXX","","WEST ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\WASHINGTON ST_3357_WR_72HR_ATR_XXX_10182016.PDF","3357","WASHINGTON ST","72 HOURS","AUTOMATED TRAFFICE RECORDING"
"04/03/2017 08:00:00 PM","","03-30-2017","XXX","","EAST BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\LEYDEN ST_219_EB_24HR_ATR_XXX_03302017.PDF","219","LEYDEN ST","24 HOURS","AUTOMATED TRAFFICE RECORDING"
"09/29/2016 08:00:00 PM","","06-15-2016","CLASSIFICATION","","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\COMMONWEALTH AVE_639_BP_96HR_ATR_CLS_06152016.XLS","639","COMMONWEALTH AVE","96 HOURS","AUTOMATED TRAFFICE RECORDING"
"09/29/2016 08:00:00 PM","","06-15-2016","SPEED","","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\COMMONWEALTH AVE_639_BP_96HR_ATR_SPD_06152016.XLS","639","COMMONWEALTH AVE","96 HOURS","AUTOMATED TRAFFIC RECORDING"
"12/19/2016 07:00:00 PM","","09-27-2016","VOLUME","","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\MASSACHUSETTS AVE_455_BP_72HR_ATR_VOL_09272016.XLS","455","MASSACHUSETTS AVE","72 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/19/2016 07:00:00 PM","","09-27-2016","XXX","","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\MASSACHUSETTS AVE_455_BP_72HR_ATR_XXX_09272016.PDF","455","MASSACHUSETTS AVE","72 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/19/2016 07:00:00 PM","","09-27-2016","VOLUME","","ALLSTON BRIGHTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\NORTH HARVARD ST_55_AB_72HR_ATR_VOL_09272016.XLS","55","NORTH HARVARD ST","72 HOURS","AUTOMATED TRAFFICE RECORDING"
